"CYP.Name","Model1.dNdS","Model2.dNdS","M2.vs.M1.TestStatistic","M2.vs.M1.Pvalue","Model7.dNdS","Model8.dNdS","M8.vs.M7.TestStatistic","M8.vs.M7.Pvalue","Model8a.dNdS","M8.vs.M8a.TestStatistic","M8.vs.M8a.Pvalue"
"cyp7a1",0.2070970648,0.2070977837,0,1,0.202462,0.202465,0,1,0.202463,0,1
"cyp2b6",0.37035,0.422743974,2.20399999999972,0.33220600682929,0.4,0.4242367111,2.67599999999948,0.262369883958195,0.37035,2.06999999999971,0.150221521269493
"cyp2c8",0.46632,0.5279757904,5.08799999999974,0.0785515642823198,0.5,0.5273482537,5.53999999999996,0.0626620047421543,0.4663210674,5.10199999999986,0.0238982729991242
"cyp11b1_cyp11b2",0.2091461989,0.21485,-21.5200000000004,1,0.229613,0.235698376,7.14999999999964,0.0280154257742269,0.2200322695,3.41400000000067,0.0646455694999905
"cyp3a43",0.3073838659,0.3310407908,1.83799999999974,0.398917759451608,0.306601,0.3310435674,1.83399999999983,0.399716393338168,0.3082458004,1.83399999999983,0.17565581516165
"cyp5a1",0.29602,0.3426739932,2.09599999999955,0.350638324951772,0.3,0.3426747369,2.10999999999967,0.348192427306255,0.296020704,2.09599999999955,0.147685054453631
"cyp4z1",0.5211392365,1.3307243426,91.4039999999986,1.41864453068874e-20,0.521833,1.317647427,94.753999999999,2.65723724375294e-21,0.5212847904,91.5419999999995,1.09248630074037e-21
"cyp17a1",0.42738,0.501576407,4.03600000000006,0.132921041498171,0.406448,0.5016258795,4.32200000000012,0.115209853560362,0.4273805726,4.03200000000015,0.044644985162583
"cyp1a2",0.84812,0.9376875265,0.847999999999956,0.654423881908873,0.899998,0.9376875265,7.02599999999984,0.0298073580952976,0.84813,0.847999999999956,0.357118744418849
"cyp1a1",0.34203,0.3990633215,2.54199999999946,0.280550930525694,0.310598,0.398630282,3.58199999999943,0.166793292949687,0.34204,2.52399999999943,0.112125842126222
"cyp2s1",0.293921704,0.3257068039,3.44599999999991,0.178529754460238,0.297043,0.3217018755,3.85400000000027,0.145584296899605,0.296551473,3.79800000000068,0.0513138408946153
"cyp2d6",0.4101852945,0.4101752945,0,1,0.384866,0.396319067,0.208000000000538,0.901225297420962,0.397713472,0.044000000001688,0.833853612611925
"cyp27b1",0.186131035,0.1950403656,0.35399999999936,0.837779784523262,0.186575,0.1951924482,0.520000000000437,0.771051585803398,0.1861281937,0.394000000000233,0.530204290149984
"cyp2c9_cyp2c18_cyp2c19",0.42224752,0.4507630372,1.46199999999953,0.481427321974421,0.429556,0.4507018056,2.41199999999844,0.29939245731003,0.42228246,1.47599999999875,0.224401409625781
"cyp3a7",0.70048,0.9888858759,47.7480000000014,4.28206779644202e-11,0.7,1.3150366916,22.4220000000005,1.35246041727482e-05,0.7004802995,22.4220000000005,2.1885275186664e-06
"cyp4x1",0.41424,0.5004101544,4.39999999999964,0.110803158362354,0.4,0.5004154865,4.53800000000047,0.103415543936472,0.4142405858,4.39800000000014,0.0359811033701716
"cyp27c1",0.22142,0.316341867,5.23400000000038,0.0730215993566456,0.2,0.3163220237,5.60000000000036,0.0608100626252069,0.22142,5.23400000000038,0.0221495380750638
"cyp26c1",0.200629813,0.2006205415,0,1,0.199424,0.200587566,0.043999999999869,0.978240235051274,0.200586703,0,1
"cyp4v2",0.2052112065,0.2052112065,0,1,0.196806,0.196806,0,1,0.19681,0,1
"cyp4f8",0.41576,0.5025978208,4.09599999999955,0.128992631036548,0.4,0.502596849,4.19599999999991,0.122701586185707,0.41576,4.09399999999914,0.0430356807045304
"cyp21a2",0.2622864652,0.2622764652,0,1,0.252971,0.252975,0,1,0.252975,0,1
"cyp2r1",0.221361916,0.2227578407,0.0119999999997162,0.994017964054076,0.220404,0.2227392026,0.0659999999998035,0.967538559589127,0.2213468359,0.0140000000001237,0.90581284672733
"cyp19a1",0.2492825126,0.2558015641,0.144000000000233,0.930530895811097,0.24901,0.2554470318,0.257999999999811,0.878973965545666,0.2492548348,0.229999999999563,0.631523828490948
"cyp4f12",0.3305817075,0.337368972,0.242000000000189,0.886033959592792,0.331156,0.3373736116,0.815999999999804,0.664978878822467,0.3305835108,0.247999999999593,0.618486872856979
"cyp11a1",0.2025125554,0.2213350928,3.61200000000008,0.164310064330394,0.209322,0.2214750342,4.83199999999943,0.0892780162516357,0.2027031787,3.61599999999999,0.0572263081511722
"cyp2e1",0.36324,0.5052983656,13.2940000000008,0.00129791000070868,0.4,0.5039800573,14.0019999999995,0.000910970539378231,0.36324,13.1980000000003,0.000280248029731704
"cyp4f11",0.3646398592,0.3958362413,3.18000000000029,0.203925611734184,0.3709,0.3957938622,4.82000000000153,0.089815294572179,0.364727435,3.21200000000135,0.0731000787293633
"cyp51a1",0.185574223,0.1855644715,0,1,0.183323,0.184010086,-0.00399999999990541,1,0.1854193141,0.00399999999990541,0.949570971151701
"cyp26a1",0.0504845248,0.0504845248,0,1,0.049889,0.049891,0,1,0.049892,0,1
"cyp2w1",0.195853519,0.2363249404,6.22800000000007,0.0444229078512865,0.215761,0.2360972318,7.67600000000039,0.0215366315636511,0.1959199725,6.46799999999985,0.0109834069046933
